author,Submission_date,slug,country_name,country_code,type_of_target_class,type_of_target_details,temp_target_class,temp_target_details,costs_of_ccm_class,costs_of_ccm_details,renewable_energy_class,renewable_energy_details,energy_efficiency_class,energy_efficiency_details,transport_class,transport_details,carbon_capture_and_storage_class,carbon_capture_and_storage_details,agriculture_class,agriculture_details,land_use_and_forestry_class,land_use_and_forestry_details,waste_class,waste_details,reducing_non_co2_gases_class,reducing_non_co2_gases_details,fossil_fuel_production_class,fossil_fuel_production_details,fossil_fuel_subsidiaries_class,fossil_fuel_subsidiaries_details,land_use_change_class,land_use_change_details,redd_class,redd_details,trade_class,trade_details,market_mechanisms_class,market_mechanisms_details,mitigation_documents_class,mitigation_documents_details,co_benefits_ccm_class,co_benefits_ccm_details
,,,Afghanistan,AFG,1,Business as usual,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,4,"6,62 billion US$",3,"Focus area (Hydropower, solar power wind power, biomass)",3,"Focus area (households, transport, industry, services, mining, agriculture)",3,Focus area,1,Not indicated,2,Considered,3,Focus area,3,Focus area,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),2,Considered: fuel shift in industry and clean/alternative fuels for transportation,4,"Baseline quantified, no mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,1,Not mentioned,1,No reference to existing mitigation plans or strategies,1,No co-benefits of mitigation mentioned
,,,Albania,ALB,1,Business as usual,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,3,Focus area,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,2,Producer; no mention of fossil fuel production,1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,5,Market mechanisms to meet part of NDC target,3,European Union Energy Community Treaty,1,No co-benefits of mitigation mentioned
,,,Algeria,DZA,1,Business as usual,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,3,Focus area: increase RE share to 27% by 2030,2,Considered (Efficient lighting),2,Considered,1,Not indicated,2,Considered,2,"Considered: afforestation, reforestation",2,Considered,2,"Considered (CH4, N2O)",5,Contextualises (Response measures); and action related to fossil fuel production (Cleaner production; Shift to natural gas),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,2,International trade/trade measures mentioned,1,Not mentioned,3,"National Climate Plan; National Action Plan for Environment and Sustainable Development; National system of Measurement, Reporting and Verification -MRV- (2016-2020)",1,No co-benefits of mitigation mentioned
,,,Andorra,AND,1,Business as usual,4,NDC claims to be consistent with 2°C limit,1,no (partial) costs mentioned,3,Focus area,3,Focus area,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,2,Considered,2,"Considered (CH4, N2O, SF6)",1,Not applicable (no fossil fuel production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,2,Market mechanisms explicitly excluded,3,National Waste Plan (2012-2016),1,No co-benefits of mitigation mentioned
,,,Angola,AGO,0,not submitted,0,Not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,Not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted
,,,Antigua and Barbuda,ATG,5,Policies and Actions,5,NDC claims to be consistent with 1.5°C limit,2,"0,22 billion US$",3,Focus area: produce 30% of the energy from RE sources,2,"Considered (Transport, industry)",2,Considered,1,Not indicated,2,Considered,2,Considered,2,Considered,2,"Considered (CH4, N2O, HFCs)",1,Not applicable (no fossil fuel production),1,Not indicated,4,"Baseline quantified, no mitigation quantified",1,REDD+ not mentioned,3,International trade/trade measures to foster mitigation (regulating imports of vehicles/electrical appliances; standards and labelling),5,Market mechanisms to meet part of NDC target,3,Renewable Energy Act; National Energy Policy; Sustainable Energy Action Plan,1,No co-benefits of mitigation mentioned
,,,Argentina,ARG,1,Business as usual,4,NDC claims to be consistent with 2°C limit,1,no (partial) costs mentioned,1,not indicated,2,Considered,2,Considered,1,Not indicated,2,Considered,2,Considered,1,not mentioned,2,"Considered (CH4, N2O, HFCs, PFCs, SF6)",2,Producer; no mention of fossil fuel production,1,Not indicated,3,"Not quantified, mitigation target",1,REDD+ not mentioned,2,International trade/trade measures mentioned,3,Use/intention to use market mechanisms,1,No reference to existing mitigation plans or strategies,3,Other co-benefits: no examples given
,,,Armenia,ARM,2,Absolute target: GHG emissions neutral by 2050 (conditional),4,NDC claims to be consistent with 2°C limit,1,no (partial) costs mentioned,2,Considered,2,Considered,2,Considered,1,Not indicated,1,Not indicated,2,"Considered: afforestation, forest protection, sustainable management of forests",2,Considered,2,"Considered (CH4, N2O, HFCs)",1,Not applicable (no fossil fuel production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,3,Use/intention to use market mechanisms,4,National Forest Program; Nationally Appropriate Mitigation Actions (NAMA),3,Other co-benefits: no examples given
,,,Australia,AUS,2,Absolute target: (26-28)% GHG emissions reduction compared to 2005 by 2030,2,Mentioning global effort to limit global temperature increase to 2°C,1,no (partial) costs mentioned,2,Considered: increase RE share to 23% by 2020,2,Considered,1,Not indicated,1,Not indicated,2,Considered,2,Considered,2,Considered,2,"Considered (CH4, N2O, HFCs, PFCs, SF6, NF3)",2,Producer; no mention of fossil fuel production,1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,5,Market mechanisms to meet part of NDC target,1,Renewable Energy Target Scheme; proposed National Energy Productivity Plan and target,1,No co-benefits of mitigation mentioned
,,,Azerbaijan,AZE,2,Absolute target: 35% GHG emissions reduction compared to 1990 by 2030,2,Mentioning global effort to limit global temperature increase to 2°C,1,no (partial) costs mentioned,2,"Considered (Hydropower, solar power, wind power, geothermal energy, biomass)",2,Considered,2,Considered,1,Not indicated,2,Considered: sustainable agriculture management,2,"Considered: afforestation, land protection, land management",2,Considered,2,"Considered (CH4, N2O, HFCs, CF4)",4,Action related to fossil fuel production (Cleaner production),1,Not indicated,5,"Baseline quantified, mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,1,Not mentioned,1,No reference to existing mitigation plans or strategies,1,No co-benefits of mitigation mentioned
